task_name;contract_name;category;list_type;points;time_spent_hours;date_done;month
Develop Marketing Research Document;RoboHead - Aligned Growth Engine Launch;Strategy/Research;Deliverables;20;;2026-03-12 17:19:05.297+00;2026-03
Update LinkedIn Ads Campaign: Budget, Lead-Gen Form;Data Assessment Solutions - Ongoing Marketing Services;Paid Media;ToDos;;1.6;2026-03-12 15:39:10.257+00;2026-03
Start first episode for Payments on Tap;NEACH - Content marketing services;Podcast;ToDos;;0.8;2026-03-12 14:12:41.125+00;2026-03
Update Meta descriptions - (STI);BioSafe - Marketing services;SEO/AEO;Deliverables;2;;2026-03-12 13:54:34.82+00;2026-03
Create animated video clip - Episode Patrick Martinez;VITAL - Marketing services;Video;Deliverables;12;;2026-03-12 12:57:00.167+00;2026-03
[OPS] Fix Lead Scoring and MQL Status Alignment;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;;2026-03-12 04:38:10.622+00;2026-03
Update social posts;VITAL - Marketing services;Content Creation;ToDos;;1.0;2026-03-12 04:14:10.009+00;2026-03
Develop Sales Guide [RICOH ProcessDirector];Ricoh - Marketing services;Content Creation;Deliverables;15;;2026-03-12 02:37:18.532+00;2026-03
Review proposal;PTO Exchange - Marketing Services;Account Management;ToDos;;;2026-03-11 20:48:43.444+00;2026-03
Review RFP from Linnea;Ricoh - Marketing services;Account Management;ToDos;;;2026-03-11 20:43:05.461+00;2026-03
Develop web page - Mitel ;Techmode - Marketing services;Web Development;Deliverables;12;;2026-03-11 20:35:39.74+00;2026-03
Look into GTM question;Cybernetix - Creative; digital; website services;Tech Stack/Ops;Deliverables;;0.5;2026-03-11 19:49:54.379+00;2026-03
Spreadsheets updates;Hydrian - Marketing services;Other;ToDos;;;2026-03-11 19:45:52.759+00;2026-03
Put together thoughts for event strategy for Robotics Invest;Ideometry;Strategy/Research;ToDos;;;2026-03-11 19:42:12.927+00;2026-03
Update image ad creative package [ABM];Data Assessment Solutions - Ongoing Marketing Services;Design/Creative;Deliverables;10;;2026-03-11 19:03:39.472+00;2026-03
Develop an sales enablement PDF [Internal Differentiation Sheet];iCorps - Marketing Services;Content Creation;Deliverables;8;;2026-03-11 18:24:15.457+00;2026-03
Set up ABM [Value Disruptors Discussion];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;10;;2026-03-11 17:25:46.564+00;2026-03
Pause campaigns;Powerhouse Gym - Creative; digital; website services;Paid Media;Deliverables;;0.5;2026-03-11 17:16:46.276+00;2026-03
Send email with follow up items from the call;Techmode - Marketing services;Account Management;ToDos;;;2026-03-11 16:56:44.922+00;2026-03
Create & send newsletter - Benchmark Calculator;Global Shared Services - Marketing Services;Content Creation;Deliverables;8;;2026-03-11 16:12:25.15+00;2026-03
Develop proposal (points/timeline) for 1:Few ABM;PTO Exchange - Marketing Services;ABM;ToDos;;;2026-03-11 15:46:42.638+00;2026-03
Set up guest booking outreach (March);Ease - Podcast Services;Podcast;Deliverables;8;;2026-03-11 15:29:03.836+00;2026-03
Allow 'Anyone Can Edit' on Figma files;iCorps - Marketing Services;Other;ToDos;;;2026-03-11 15:15:41.149+00;2026-03
Create SEO blog inspired by transcript - bio waste;BioSafe - Marketing services;SEO/AEO;Deliverables;10;;2026-03-11 14:30:10.083+00;2026-03
Set up paid media / ABM (Life Sciences);BioSafe - Marketing services;Paid Media;Deliverables;5;;2026-03-11 14:29:33.017+00;2026-03
Set Up ABM (Life Sciences);BioSafe - Marketing services;ABM;Deliverables;10;;2026-03-11 14:29:28.94+00;2026-03
Develop outreach sequence - White Paper;Sedra Solutions - Marketing services;ABM;Deliverables;5;;2026-03-11 13:09:55.079+00;2026-03
[STRATEGY] Update landing pages;PTO Exchange - Marketing Services;Web Development;Deliverables;10;;2026-03-11 12:13:38.702+00;2026-03
Write Scripts for Social Clips - Microsoft;Syncro - Content marketing services;Video;Deliverables;3;;2026-03-11 11:36:02.741+00;2026-03
Develop dynamic outreach sequence (x3);Acacia Advisors - Ongoing Marketing Services;ABM;Deliverables;24;;2026-03-11 03:09:10.955+00;2026-03
Develop image ad creative package;Planon - Marketing Services;Design/Creative;Deliverables;10;;2026-03-11 02:42:55.608+00;2026-03
Develop ABM Plan Document;Rezku POS - Ongoing Services - Post AGE;ABM;Deliverables;30;;2026-03-10 20:54:39.756+00;2026-03
Review Supplier Portal One Pager;DocLib - Ongoing Services;Design/Creative;ToDos;;;2026-03-10 20:25:37.667+00;2026-03
Complete Asset intake;DocLib - Ongoing Services;Other;ToDos;;;2026-03-10 19:57:24.123+00;2026-03
Supplier Portal One Pager;DocLib - Ongoing Services;Design/Creative;Deliverables;8;;2026-03-10 19:57:12.886+00;2026-03
Design Forrester Briefing Side Deck;ThreatMark - Marketing services;Design/Creative;Deliverables;10;;2026-03-10 18:55:31.527+00;2026-03
Review ABM Sequencing;BioSafe - Marketing services;ABM;ToDos;;;2026-03-10 18:48:43.259+00;2026-03
Create nurture list: contacts with 5+ email clicks;iCorps - Marketing Services;Tech Stack/Ops;ToDos;;1.5;2026-03-10 17:02:45.287+00;2026-03
Develop outreach sequence [High-Engagement Account Outreach];Data Assessment Solutions - Ongoing Marketing Services;ABM;Deliverables;5;;2026-03-10 16:45:25.623+00;2026-03
Develop proposal: Intelligent Automation Awareness Video for the RICOH Pro VC80000;Ricoh - Marketing services;Video;ToDos;;;2026-03-10 13:27:59.185+00;2026-03
86e04na3e - VITAL - The Flywheel Effect - Gerri Detweiler;VITAL - Marketing services;Podcast;Deliverables;10;;2026-03-10 12:08:55.338+00;2026-03
Distribute episode - Gina Ive;Verisk - Marketing services;Podcast;Deliverables;3;;2026-03-10 11:29:49.176+00;2026-03
Verisk & MID slide deck;Verisk - Marketing services;Design/Creative;ToDos;;;2026-03-10 10:53:18.581+00;2026-03
Distribute Episode - Book Session - Calms and Highs: Lessons from "The Long Way" for Business Owners;VITAL - Marketing services;Podcast;Deliverables;0;;2026-03-10 10:41:33.175+00;2026-03
Conduct Alignment Meeting;RoboHead - Aligned Growth Engine Launch;Account Management;Deliverables;;;2026-03-10 03:11:45.91+00;2026-03
Develop outreach sequence;Planon - Marketing Services;ABM;Deliverables;5;;2026-03-10 01:55:49.037+00;2026-03
Final revision of the short blog;Bazaarvoice - Content marketing services;Content Creation;ToDos;;0.5;2026-03-09 23:55:03.004+00;2026-03
Develop Messaging Plan Document;Acacia Advisors - Ongoing Marketing Services;Strategy/Research;Deliverables;35;;2026-03-09 20:03:55.52+00;2026-03
Develop dynamic outreach sequence [Value Disruptors Discussion];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;8;;2026-03-09 19:44:16.949+00;2026-03
Update ABM assets based on feedback;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-03-09 18:53:28.414+00;2026-03
Develop new marketing roadmap;Ecosystems - Ongoing Marketing Services;Strategy/Research;ToDos;;;2026-03-09 16:54:45.982+00;2026-03
[OPS] Develop lead management dashboard;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;10;;2026-03-09 14:56:37.527+00;2026-03
Update AirOps flow;VITAL - Marketing services;Tech Stack/Ops;ToDos;;2.0;2026-03-09 13:51:26.646+00;2026-03
Set all MQLs Lead Status = New;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;0.3;2026-03-09 13:39:43.478+00;2026-03
Prepare Hubspot SMS Training for Milan for Monday meeting;Powerhouse Gym - Creative; digital; website services;Account Management;ToDos;;;2026-03-09 13:09:51.921+00;2026-03
Set up revised Google PPC campaigns;New North;Paid Media;Deliverables;;;2026-03-08 19:49:04.321+00;2026-03
Create Client Channel in Slack;Ecosystems - Ongoing Marketing Services;Account Management;ToDos;;;2026-03-08 19:48:39.194+00;2026-03
Update Meta descriptions - (Homepage);BioSafe - Marketing services;SEO/AEO;Deliverables;2;;2026-03-06 22:41:03.79+00;2026-03
[OPS] Fix Workflow Issues;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;2.0;2026-03-06 21:45:36.623+00;2026-03
Set up SMS Workflows;Powerhouse Gym - Creative; digital; website services;Tech Stack/Ops;ToDos;;;2026-03-06 21:16:36.342+00;2026-03
Review video strategy;Syncro - Content marketing services;Strategy/Research;ToDos;;;2026-03-06 19:45:38.606+00;2026-03
Develop Document with Best Practices for Meta Ads;Powerhouse Gym - Creative; digital; website services;Content Creation;ToDos;;;2026-03-06 19:08:15.034+00;2026-03
Transport Topics - Blog Post Copy - RoadSigns Extended Cut with TruckDown;Transport Topics - Blog Post Bundle;Content Creation;Deliverables;5;;2026-03-06 19:08:05.793+00;2026-03
Tech stack (March);BioSafe - Marketing services;Tech Stack/Ops;Deliverables;27;;2026-03-06 19:07:22.493+00;2026-03
Set up campaign [Insurance Brokers / Channel Partners];PTO Exchange - Marketing Services;ABM;Deliverables;5;;2026-03-06 18:05:42.785+00;2026-03
Website Edits Part 2;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Web Development;Deliverables;;;2026-03-06 18:05:10.816+00;2026-03
Create custom box design;ThreatMark - Marketing services;Design/Creative;Deliverables;8;;2026-03-06 15:48:23.349+00;2026-03
Update messaging versions;Rezku POS - Ongoing Services - Post AGE;Content Creation;ToDos;;;2026-03-06 15:48:18.719+00;2026-03
Newsletter optimization;Aquatic Informatics - Ongoing Marketing Services;Content Creation;Deliverables;5;;2026-03-06 15:30:10.008+00;2026-03
Edits to 86dzhxzkb - EASE - Shop Floor, Top Floor Talk Show - Anne Trobaugh;Ease - Podcast Services;Podcast;ToDos;;;2026-03-06 15:26:55.682+00;2026-03
Testing & validation;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;100;;2026-03-06 15:24:40.273+00;2026-03
Develop SEO blog post [real estate accounting];Gallagher & Mohan - Ongoing Marketing Services - Post AGE;Content Creation;Deliverables;10;;2026-03-06 11:52:32.097+00;2026-03
[OPS] Develop Marketing Dashboard;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;10;;2026-03-06 11:20:05.262+00;2026-03
[OPS] Benchmark Report Workflow: Full Mapping;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;0.5;2026-03-06 10:42:01.066+00;2026-03
[OPS] Investigate Workflow: The BNFT Shift (email);PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;0.5;2026-03-06 10:41:28.712+00;2026-03
Export white logos from Kinsta;Rugged Robotics - Marketing services;Design/Creative;ToDos;;0.3;2026-03-06 10:33:27.959+00;2026-03
Develop image ad creative package;New North;Design/Creative;Deliverables;10;;2026-03-06 02:40:57.732+00;2026-03
[OPS] HubSpot Broker Data Cleanup + Automation Guardrails;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;5;;2026-03-05 19:33:06.239+00;2026-03
Pick a topic from the content calendar for the first internal interview (deprioritized);Washington Speakers Bureau - Ongoing Marketing Services;Content Creation;ToDos;;;2026-03-05 18:30:00.279+00;2026-03
Set up AirOps writing workflow;Sedra Solutions - Marketing services;Tech Stack/Ops;ToDos;;;2026-03-05 18:03:44.041+00;2026-03
Vectorize Logo & Create Variations;AutoBytes - 2026 Services;Design/Creative;Deliverables;0;;2026-03-05 18:02:26.14+00;2026-03
Add brand IG to multisocial workflow;VITAL - Marketing services;Tech Stack/Ops;ToDos;;2.0;2026-03-05 17:44:55.097+00;2026-03
Schedule sales training OR record video;PTO Exchange - Marketing Services;Video;ToDos;;;2026-03-05 16:41:12.669+00;2026-03
Develop web page [PDF Case Study];Rugged Robotics - Marketing services;Web Development;Deliverables;12;;2026-03-05 16:18:41.376+00;2026-03
Tech stack (March);Techmode - Marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-05 15:13:52.258+00;2026-03
Fix spreadsheet - Hydrian Engaged Contacts;Hydrian - Marketing services;Tech Stack/Ops;ToDos;;;2026-03-05 15:12:56.837+00;2026-03
Tech stack (March);Ease - Podcast Services;Tech Stack/Ops;Deliverables;10;;2026-03-05 15:11:11.602+00;2026-03
Prep for Ecosystems meeting (check description);Ecosystems - Ongoing Marketing Services;Account Management;ToDos;;;2026-03-05 14:58:58.038+00;2026-03
[OPS] Update HubSpot workflows to suppress marketing emails after meeting is booked;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;1.3;2026-03-05 13:44:43.693+00;2026-03
Tech stack (March);Verisk - Marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-05 13:03:57.311+00;2026-03
Export from Figma to Adobe;ThreatMark - Marketing services;Design/Creative;ToDos;;;2026-03-05 12:32:28.033+00;2026-03
86dzy7kt4 - Inside Tracker - Longevity by Design - Dr. Andrea Maier;Inside Tracker - Podcast services;Podcast;Deliverables;10;;2026-03-05 11:13:49.817+00;2026-03
Validate Google Workspace access;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;ToDos;;;2026-03-05 04:41:55.041+00;2026-03
Review SEO Plan;Washington Speakers Bureau - Ongoing Marketing Services;SEO/AEO;ToDos;;;2026-03-04 22:08:54.53+00;2026-03
[OPS] Perform contact quality improvements: duplicates, invalids, disengaged;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;0.5;2026-03-04 21:06:48.127+00;2026-03
Review task specs for video testimonial revision;VITAL - Marketing services;Video;ToDos;;;2026-03-04 21:06:39.592+00;2026-03
Technical Support - Banking Fraud Summit Site;ThreatMark - Marketing services;Web Development;Deliverables;;;2026-03-04 19:07:17.062+00;2026-03
Update Booth Graphic V5;ThreatMark - Marketing services;Design/Creative;Deliverables;;;2026-03-04 19:07:04.431+00;2026-03
Update performance reporting dashboard;iCorps - Marketing Services;Performance/Reporting;ToDos;;0.7;2026-03-04 19:04:40.539+00;2026-03
Update performance reporting dashboard;Agrippon - Marketing services;Performance/Reporting;ToDos;;;2026-03-04 17:35:35.875+00;2026-03
Interview questions;Hydrian - Marketing services;Content Creation;ToDos;;;2026-03-04 17:34:30.671+00;2026-03
Podcast Page;Ease - Podcast Services;Web Development;ToDos;;;2026-03-04 16:47:18.2+00;2026-03
[Operations] Tech stack - (March);Washington Speakers Bureau - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;5;;2026-03-04 16:46:57.768+00;2026-03
[OPS] Analyze 52 HubSpot workflow errors;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;10;;2026-03-04 16:39:57.855+00;2026-03
Develop dynamic email sequence;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Content Creation;Deliverables;8;;2026-03-04 16:38:00.244+00;2026-03
Develop Brand Package;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Design/Creative;Deliverables;20;;2026-03-04 16:36:25.942+00;2026-03
Create short videos for Bazaarvoice Summit;Bazaarvoice - Content marketing services;Video;Deliverables;10;;2026-03-04 15:50:19.357+00;2026-03
Update survey landing page;Hydrian - Marketing services;Web Development;ToDos;;;2026-03-04 14:36:19.266+00;2026-03
Spec sales enablement content;iCorps - Marketing Services;Content Creation;ToDos;;;2026-03-04 11:51:40.035+00;2026-03
Prepare list of all active email workflows;PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;;2026-03-04 10:31:34.237+00;2026-03
Develop 3-month points plan;Agrippon - Marketing services;Strategy/Research;ToDos;;;2026-03-04 06:04:32.889+00;2026-03
[STRATEGY] Report on CTA/popup performance;PTO Exchange - Marketing Services;Performance/Reporting;ToDos;;;2026-03-04 05:30:47.819+00;2026-03
Compare old vs. new brief to update points;Bazaarvoice - Content marketing services;Strategy/Research;ToDos;;;2026-03-03 23:36:24.294+00;2026-03
Review deck documents;Milestone Towers - Ongoing Marketing Services;Account Management;ToDos;;;2026-03-03 23:14:30.964+00;2026-03
ABM email sequence;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;ABM;ToDos;;;2026-03-03 22:30:12.149+00;2026-03
Conduct kickoff;RoboHead - Aligned Growth Engine Launch;Account Management;Deliverables;0;;2026-03-03 20:56:25.031+00;2026-03
Set Up ABM - Accounting Services & New CFO Services;Global Shared Services - Marketing Services;ABM;Deliverables;3;;2026-03-03 19:43:33.262+00;2026-03
Record intro for Episode Gina Ive;Verisk - Marketing services;Podcast;ToDos;;;2026-03-03 18:34:02.96+00;2026-03
Client feedback Pat Sullivan blog outline;Verisk - Marketing services;Content Creation;ToDos;;;2026-03-03 18:33:58.779+00;2026-03
Develop image ad creative package [ABM Update];Agrippon - Marketing services;Design/Creative;Deliverables;10;;2026-03-03 18:25:26.837+00;2026-03
[STRATEGY] UX Intelligence (HotJar);PTO Exchange - Marketing Services;Strategy/Research;ToDos;;;2026-03-03 18:25:07.084+00;2026-03
Connect VITAL Facebook + Instagram;VITAL - Marketing services;Tech Stack/Ops;ToDos;;;2026-03-03 17:48:20.553+00;2026-03
Send Igor video recording on how to edit in Descript;VITAL - Marketing services;Video;ToDos;;;2026-03-03 17:29:41.024+00;2026-03
Complete asset intake/access form;Acacia Advisors - Ongoing Marketing Services;Account Management;ToDos;;;2026-03-03 16:01:21.668+00;2026-03
Transport Topics - Blog Post Copy - RoadSigns Extended Cut with Cox Automotive (02/2026);Transport Topics - Blog Post Bundle;Content Creation;Deliverables;5;;2026-03-03 15:10:40.048+00;2026-03
Configure additional paid media campaign - SMB ;Techmode - Marketing services;Paid Media;Deliverables;3;;2026-03-03 14:42:56.673+00;2026-03
[STRATEGY] Enrich contacts with personal email addresses;PTO Exchange - Marketing Services;Strategy/Research;ToDos;;1.5;2026-03-03 14:39:50.144+00;2026-03
Design One Pager - Treatment Facility;AutoBytes - 2026 Services;Design/Creative;Deliverables;8;;2026-03-03 13:20:34.825+00;2026-03
Edits to 86dzwc95b - Verisk - The Marketing Rapport - Gina Ive;Verisk - Marketing services;Podcast;ToDos;;;2026-03-03 12:38:27.351+00;2026-03
Develop images for Total IP Address;Verisk - Marketing services;Design/Creative;Deliverables;5;;2026-03-03 11:15:41.545+00;2026-03
[STRATEGY] Import Contacts into HubSpot (Healthcare Enterprise ABM and Current ABM LinkedIn Ads);PTO Exchange - Marketing Services;Tech Stack/Ops;ToDos;;1.0;2026-03-03 10:28:25.777+00;2026-03
Review and edit episode assets;VITAL - Marketing services;Podcast;ToDos;;;2026-03-03 01:33:35.506+00;2026-03
Update location pages (preview pages) and publish;iCorps - Marketing Services;Web Development;ToDos;;1.0;2026-03-02 19:55:45.474+00;2026-03
[Management] Manage paid media - (February);Washington Speakers Bureau - Ongoing Marketing Services;Paid Media;Deliverables;20;;2026-03-02 19:54:39.466+00;2026-03
Set up AirOps writing workflow;Numeric - Podcast services;Tech Stack/Ops;Deliverables;;;2026-03-02 19:06:27.414+00;2026-03
Create speaking highlight video - Josh's NCUMA AI Presentation;Tyfone - Content marketing services;Video;Deliverables;15;;2026-03-02 18:52:27.627+00;2026-03
Blog Workflow Optimization;BioSafe - Marketing services;Tech Stack/Ops;ToDos;;;2026-03-02 15:16:36.583+00;2026-03
Manage content (February);BioSafe - Marketing services;Content Creation;Deliverables;10;;2026-03-02 15:15:33.3+00;2026-03
Develop outreach sequence to promote Bazaarvoice Summit playbook;Bazaarvoice - Content marketing services;ABM;Deliverables;0;;2026-03-02 13:58:16.493+00;2026-03
Tech stack (March);Tyfone - Content marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-02 13:31:06.091+00;2026-03
Website Hosting;Wilburn - Content marketing services;Web Development;Deliverables;2;;2026-03-02 13:28:02.112+00;2026-03
Website Hosting (March);Rod Miller - Content marketing services;Web Development;Deliverables;2;;2026-03-02 12:57:00.628+00;2026-03
Tech stack (March);NEACH - Content marketing services;Tech Stack/Ops;Deliverables;6;;2026-03-02 12:55:18.821+00;2026-03
Tech stack (March);Milestone Towers - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;5;;2026-03-02 12:55:05.997+00;2026-03
Tech stack (March);Inside Tracker - Podcast services;Tech Stack/Ops;Deliverables;5;;2026-03-02 12:54:11.484+00;2026-03
Design LinkedIn Carousel to promote the playbook;Bazaarvoice - Content marketing services;Design/Creative;Deliverables;0;;2026-03-02 06:58:46.219+00;2026-03
Create social posts - ProSource Summit;VITAL - Marketing services;Content Creation;Deliverables;0;;2026-03-02 06:53:53.653+00;2026-03
Banking Summit Training Prep;ThreatMark - Marketing services;Account Management;ToDos;;;2026-03-02 04:08:06.664+00;2026-03
Set up asset intake for Syncro platforms;Syncro - Content marketing services;Tech Stack/Ops;ToDos;;;2026-03-02 04:02:16.551+00;2026-03
Manage paid media (February);New North;Paid Media;Deliverables;8;;2026-03-02 03:15:09.439+00;2026-03
Manage web (February);New North;Web Development;Deliverables;5;;2026-03-02 03:15:09.439+00;2026-03
Manage web - February;Ideometry;Web Development;Deliverables;5;;2026-03-02 03:15:09.439+00;2026-03
Support Request Window (February);PTO Exchange - Marketing Services;Account Management;Deliverables;;;2026-02-28 07:03:48.119+00;2026-02
Update all ABM assets: additional service offerings;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-28 07:03:32.007+00;2026-02
Edits to 86dzk5e08 - VITAL - The Flywheel Effect - Matt Bernath;VITAL - Marketing services;Video;ToDos;;;2026-02-28 00:22:11.987+00;2026-02
Review Feedback from Client on Video;Planon - Marketing Services;Video;ToDos;;1.7;2026-02-27 22:36:39.987+00;2026-02
Manage paid media - February;ThreatMark - Marketing services;Paid Media;Deliverables;8;;2026-02-27 22:05:08.861+00;2026-02
Manage web (February);Techmode - Marketing services;Web Development;Deliverables;5;;2026-02-27 20:42:05.416+00;2026-02
Add task to review Meta descriptions;BioSafe - Marketing services;SEO/AEO;ToDos;;;2026-02-27 20:41:36.546+00;2026-02
Tech stack;Rezku POS - Ongoing Services - Post AGE;Tech Stack/Ops;Deliverables;19;;2026-02-27 20:05:30.867+00;2026-02
Assign edits to Episode Gina Ive;Verisk - Marketing services;Podcast;ToDos;;0.5;2026-02-27 20:03:07.356+00;2026-02
Update Booth Graphics V3;ThreatMark - Marketing services;Design/Creative;Deliverables;;;2026-02-27 19:51:38.733+00;2026-02
Develop Customer Testimonial Videos;ThreatMark - Marketing services;Video;Deliverables;30;;2026-02-27 19:51:19.653+00;2026-02
Manage web - February;ThreatMark - Marketing services;Web Development;Deliverables;5;;2026-02-27 19:51:13.705+00;2026-02
Manage performance reporting - February;ThreatMark - Marketing services;Performance/Reporting;Deliverables;5;;2026-02-27 19:51:01.088+00;2026-02
Manage performance reporting - February;WeFixFreight - Marketing services;Performance/Reporting;Deliverables;5;;2026-02-27 19:50:53.024+00;2026-02
Facilitate Client Meetings - February;ThreatMark - Marketing services;Account Management;Deliverables;10;;2026-02-27 19:50:48.359+00;2026-02
Facilitate Client Meetings - March;ThreatMark - Marketing services;Account Management;Deliverables;10;;2026-02-27 19:50:48.359+00;2026-02
Tech Stack - February;ThreatMark - Marketing services;Tech Stack/Ops;Deliverables;16;;2026-02-27 19:50:46.271+00;2026-02
Manage web - February;WeFixFreight - Marketing services;Web Development;Deliverables;5;;2026-02-27 19:50:44.282+00;2026-02
Manage paid media - February;WeFixFreight - Marketing services;Paid Media;Deliverables;8;;2026-02-27 19:50:42.118+00;2026-02
Facilitate Client Meetings - February;WeFixFreight - Marketing services;Account Management;Deliverables;5;;2026-02-27 19:50:36.324+00;2026-02
Tech stack - February;WeFixFreight - Marketing services;Tech Stack/Ops;Deliverables;5;;2026-02-27 19:50:33.084+00;2026-02
Manage ABM [February];iCorps - Marketing Services;ABM;Deliverables;10;;2026-02-27 19:15:48.625+00;2026-02
Facilitate Client Meetings - February;Ponce Bank - Creative; Digital; and Website Retainer;Account Management;Deliverables;10;;2026-02-27 19:07:24.448+00;2026-02
Design & Launch Newsletter - February;Hydrian - Marketing services;Content Creation;Deliverables;5;;2026-02-27 18:59:00.859+00;2026-02
Manage web (February);Hydrian - Marketing services;Web Development;Deliverables;5;;2026-02-27 18:58:12.513+00;2026-02
Manage paid media (February);Hydrian - Marketing services;Paid Media;Deliverables;8;;2026-02-27 18:58:06.968+00;2026-02
Tech stack (February);Hydrian - Marketing services;Tech Stack/Ops;Deliverables;21;;2026-02-27 18:57:56.854+00;2026-02
Manage social (February);Hydrian - Marketing services;Content Creation;Deliverables;8;;2026-02-27 18:57:07.657+00;2026-02
Manage performance reporting (February);Hydrian - Marketing services;Performance/Reporting;Deliverables;5;;2026-02-27 18:56:59.258+00;2026-02
Facilitate Client Meetings (February);Hydrian - Marketing services;Account Management;Deliverables;10;;2026-02-27 18:56:50.578+00;2026-02
Workflow Update: Blog Thumbnail Prompt Creation;Ease - Podcast Services;Tech Stack/Ops;ToDos;;1.0;2026-02-27 18:38:10.682+00;2026-02
Facilitate Client Meetings (February);Techmode - Marketing services;Account Management;Deliverables;10;;2026-02-27 18:24:40.474+00;2026-02
Manage web (February) ;BioSafe - Marketing services;Web Development;Deliverables;5;;2026-02-27 18:15:24.364+00;2026-02
Manage web (February);Global Shared Services - Marketing Services;Web Development;Deliverables;5;;2026-02-27 17:37:35.673+00;2026-02
[STRATEGY] Adjust Lead Status dropdown options;PTO Exchange - Marketing Services;Strategy/Research;ToDos;;0.3;2026-02-27 17:34:46.858+00;2026-02
Manage SEO (February);Global Shared Services - Marketing Services;SEO/AEO;Deliverables;5;;2026-02-27 17:32:16.317+00;2026-02
Facilitate Client Meetings (February);Global Shared Services - Marketing Services;Account Management;Deliverables;10;;2026-02-27 17:29:18.66+00;2026-02
Manage ABM (February);Global Shared Services - Marketing Services;ABM;Deliverables;10;;2026-02-27 17:27:20.133+00;2026-02
Manage performance reporting (February);BioSafe - Marketing services;Performance/Reporting;Deliverables;5;;2026-02-27 17:27:18.292+00;2026-02
Tech stack (February);Global Shared Services - Marketing Services;Tech Stack/Ops;Deliverables;17;;2026-02-27 17:26:10.413+00;2026-02
Facilitate Client Meetings - February;Aquatic Informatics - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-02-27 17:24:34.942+00;2026-02
ABM Contact List;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;ABM;ToDos;;;2026-02-27 17:24:30.775+00;2026-02
Develop image ad creative package;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Design/Creative;Deliverables;10;;2026-02-27 17:24:02.87+00;2026-02
Tech stack - February;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;6;;2026-02-27 17:22:16.681+00;2026-02
[STRATEGY] HubSpot ICP Segmentation;PTO Exchange - Marketing Services;Strategy/Research;Deliverables;5;;2026-02-27 16:29:30.289+00;2026-02
Optimize SEO web page - EDS;BioSafe - Marketing services;SEO/AEO;Deliverables;18;;2026-02-27 15:55:24.01+00;2026-02
Optimized SEO web page - STI Medical Waste Treatment System;BioSafe - Marketing services;SEO/AEO;Deliverables;5;;2026-02-27 15:55:09.618+00;2026-02
Build priority forms (February);Aquatic Informatics - Ongoing Marketing Services;Web Development;Deliverables;5;;2026-02-27 15:51:38.516+00;2026-02
Review ABM email sequence;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-27 15:23:20.635+00;2026-02
Review ABM playbook;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-27 15:23:20.635+00;2026-02
Review ABM direct mail designs;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-27 15:23:20.635+00;2026-02
Review ABM LinkedIn ad setup;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-27 15:23:20.635+00;2026-02
Review ABM landing page;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-02-27 15:23:20.635+00;2026-02
[Management] Facilitate Client Meetings - (February);Washington Speakers Bureau - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-02-27 15:04:14.565+00;2026-02
